RecID,DateTime,Amount,Account No.,Account Name,Transaction Type,Description
00000001,2025-05-14T18:51,1000.77,a12345678,Main,Salary,Description1
00000002,2025-05-13T19:00,50.22,a12345678,Main,Groceries,Description2
00000003,2025-05-12T11:30,31.84,a12345679,Sub,Food,Description3
00000004,2025-04-08T14:20,44.22,a12345678,Sub,Utilities,Description4
00000005,2025-05-09T15:10,22.00,a12345679,Sub,Food,Description5
00000006,2025-05-10T13:20,44.00,a12345679,Sub,Food,Description6
00000007,2025-04-14T17:30,89.00,a12345679,Sub,Food,Description7
00000008,2025-04-12T13:50,2.00,a12345678,Main,Groceries,Description8
00000009,2025-05-13T18:30,9.01,a12345678,Main,Loan,Description9
00000010,2025-04-14T19:30,8.77,a12345679,Sub,Food,Description10
